index,page,name,category
1,1,중화요리 팔공,중식당
2,1,리옌 본점,중식당
3,1,만 성 찬 팅,중식당
4,1,친향중식당,중식당
5,1,이라운지 서울대점,중식당
6,1,윤셰프,중식당
7,1,영신원,중식당
8,1,거목쟁반짜장 난곡점,중식당
9,1,강남반점,중식당
10,1,대통자장면,중식당
11,1,춘리마라탕 신림점,마라탕
12,1,미림성,중식당
13,1,중국성,중식당
14,1,동보성,중식당
15,1,성원우육면,중식당
16,1,라쿵푸마라탕 신림점,마라탕
17,1,참짜장기계우동,중식당
18,1,우짜자하우스,중식당
19,1,홍콩반점0410 신림고시촌점,중식당
20,1,신림미관,중식당
21,1,탑짜장 서울대점,중식당
22,1,소백양훠궈샤브샤브,중식당
23,1,신사반점,중식당
24,1,진 마라탕,중식당
25,1,대복융,중식당
26,1,작은중식당리우,중식당
27,1,만리성,중식당
28,1,옛날짜장,중식당
29,1,용궁중화요리,중식당
30,1,본가짜장 난곡점,중식당
31,1,미친마라탕,중식당
32,1,서울익스프레스88 신림점,중식당
33,1,왕짜장 신림점,중식당
34,1,신객잔우육면,중식당
35,1,화룡짬뽕 난곡점,중식당
36,1,기사식당,중식당
37,1,차이홍,중식당
38,1,황궁쟁반자장 청호,중식당
39,1,호즈위우육면,중식당
40,1,짜장마을,중식당
41,1,황비홍마라탕 신림점,중식당
42,1,다모아,중식당
43,1,삼성웰스토리 서울대점,중식당
44,1,성보장,중식당
45,1,무궁반점 신대방점,중식당
46,1,모란반점,중식당
47,1,마라포차 마라탕 마라샹궈,중식당
48,1,기운이네완당,중식당
49,1,성빈각,중식당
50,1,탕화쿵푸마라탕 신림타임스트림점,마라탕
51,2,청운장,중식당
52,2,황비홍마라탕 신대방점,중식당
53,2,서경중국요리,중식당
54,2,북청,중식당
55,2,상하이,중식당
56,2,선짜장,중식당
57,2,용궁다리원,중식당
58,2,24시만리성,중식당
59,2,영화루,중식당
60,2,빡빡이네반점,중식당
